source,destination,distance_km,days,transport,hotel_type,people,season,trip_type,group_type,travel_cost,hotel_cost,food_cost,total_cost,budget_category
Bangalore,Kolkata,1988,6,bus,2-star,2,normal,medium,solo,3201,4554,4247,11549,low
Kochi,Pune,200,3,bus,4-star,1,normal,short,couple,162,7074,2563,9430,medium
Goa,Jaipur,1331,5,bus,2-star,5,peak,medium,solo,5950,11875,9497,26313,low
Jaipur,Chennai,1164,5,bus,2-star,2,peak,short,couple,2043,3915,3811,9413,low
Bangalore,Kochi,1217,3,train,3-star,5,off,long,solo,6011,10671,7390,28345,low
Delhi,Mumbai,889,6,flight,2-star,5,off,long,family,8551,12188,9450,45243,low
Pune,Chennai,161,6,flight,2-star,4,peak,medium,couple,1539,9997,9369,31294,low
Mumbai,Kolkata,340,2,bus,3-star,5,peak,short,solo,1459,6524,5980,13457,low
Goa,Jaipur,402,6,bus,3-star,5,normal,medium,solo,1585,30373,16452,46599,low
Chennai,Pune,1337,6,train,5-star,3,peak,long,couple,4834,64016,23986,109403,high
Kolkata,Jaipur,1685,3,flight,3-star,3,normal,medium,couple,10914,8007,4970,35805,medium
Goa,Chennai,1004,6,bus,3-star,4,off,medium,solo,2950,17646,11341,30807,low
Goa,Pune,1819,7,bus,3-star,5,normal,short,solo,7296,36972,19607,61425,low
Hyderabad,Kolkata,757,4,flight,2-star,2,off,short,couple,3007,2412,2550,11935,low
Hyderabad,Delhi,797,6,flight,2-star,5,peak,medium,couple,9502,14956,11637,54065,low
Goa,Delhi,848,7,bus,3-star,2,normal,long,family,1378,12496,7745,20782,low
Kochi,Bangalore,1768,2,bus,5-star,4,normal,short,family,5614,11995,9345,25975,medium
Chennai,Mumbai,1039,5,train,5-star,5,off,short,couple,5089,64402,26787,113370,medium
Goa,Kochi,1379,6,flight,5-star,3,normal,long,couple,9122,59259,21963,135370,high
Chennai,Kochi,1652,7,train,2-star,5,peak,short,family,9994,17817,13408,48519,low
Jaipur,Hyderabad,909,2,bus,2-star,5,peak,long,couple,4008,3006,3799,10413,low
Jaipur,Goa,1044,7,flight,3-star,2,peak,long,solo,5003,13139,8299,39635,medium
Bangalore,Mumbai,700,1,flight,5-star,5,peak,long,family,8365,19658,6686,52008,high
Kolkata,Bangalore,1212,1,flight,4-star,2,off,long,family,4818,3159,1549,14264,high
Jaipur,Kolkata,410,5,train,2-star,3,normal,long,couple,1350,7242,5241,16278,low
Goa,Kolkata,1210,7,flight,2-star,4,normal,medium,family,10690,10705,9441,46232,low
Pune,Bangalore,1876,7,flight,2-star,3,normal,long,family,12356,11030,7452,46165,medium
Jaipur,Kochi,911,3,bus,2-star,2,peak,long,solo,1626,2016,2313,5730,low
Delhi,Chennai,821,6,train,3-star,2,normal,medium,couple,1811,9907,6568,21531,low
Pune,Kochi,1409,5,flight,3-star,1,off,medium,couple,2815,7330,2469,18880,medium
Pune,Hyderabad,990,1,train,4-star,2,off,short,family,1946,3150,1543,7813,medium
Jaipur,Mumbai,403,5,bus,2-star,1,peak,medium,family,346,3823,1909,5862,low
Delhi,Goa,260,7,train,4-star,2,off,medium,solo,505,18755,10686,35259,medium
Chennai,Bangalore,1373,5,flight,2-star,2,normal,medium,couple,6000,3678,3517,19759,low
Chennai,Pune,995,6,train,4-star,1,peak,medium,solo,1209,19429,5514,30773,high
Chennai,Delhi,329,3,bus,3-star,3,off,long,couple,721,7191,4499,11948,low
Mumbai,Kochi,1448,7,bus,5-star,4,peak,long,solo,5015,77354,37413,115442,medium
Bangalore,Mumbai,1668,1,bus,2-star,2,peak,short,couple,2952,976,759,4513,medium
Chennai,Pune,403,6,flight,2-star,4,peak,medium,family,3966,9723,9467,34675,low
Hyderabad,Bangalore,1718,5,flight,2-star,1,normal,medium,couple,3728,3634,1741,13638,medium
Bangalore,Kolkata,1350,2,bus,4-star,3,peak,long,solo,3596,7637,5596,16209,medium
Mumbai,Chennai,1856,3,flight,5-star,1,off,medium,solo,3677,10637,3276,26362,high
Bangalore,Mumbai,1835,1,flight,2-star,1,off,short,solo,3605,807,310,7077,high
Chennai,Mumbai,1868,1,flight,4-star,3,peak,long,couple,13040,7677,2906,35429,high
Hyderabad,Jaipur,1963,2,bus,3-star,3,normal,medium,family,4766,3998,3286,11601,low
Pune,Goa,688,2,bus,2-star,5,off,short,solo,2477,2449,3094,7724,low
Kochi,Jaipur,1282,6,train,2-star,1,off,long,solo,1290,4093,1910,8576,low
Jaipur,Kochi,655,4,train,3-star,1,off,short,family,652,5401,1999,9474,medium
Kolkata,Chennai,160,7,train,2-star,1,off,medium,couple,159,4834,2186,8452,low
Mumbai,Jaipur,1492,3,flight,4-star,2,peak,short,solo,7232,7878,5505,30872,high
Hyderabad,Kolkata,941,3,flight,4-star,5,normal,medium,solo,10123,21051,12759,65828,medium
Pune,Kolkata,582,2,train,5-star,2,off,long,family,1155,5419,4305,12804,medium
Bangalore,Goa,994,3,train,5-star,5,off,long,solo,5030,31621,15998,62034,medium
Hyderabad,Chennai,1149,5,flight,3-star,2,normal,short,family,5047,7802,5485,27484,medium
Jaipur,Chennai,1178,5,flight,5-star,2,peak,medium,solo,5843,26408,13245,68133,high
Kochi,Jaipur,1794,1,bus,4-star,1,normal,long,family,1408,3467,845,5511,high
Pune,Mumbai,486,6,bus,4-star,2,off,long,family,696,16052,9256,25018,medium
Chennai,Kochi,272,2,flight,3-star,5,off,long,family,2647,5419,4986,19549,low
Bangalore,Pune,638,6,train,5-star,5,off,short,couple,3212,82920,31906,138816,medium
Goa,Mumbai,965,4,flight,3-star,3,peak,medium,family,6920,12950,7234,40636,medium
Pune,Kolkata,1303,2,bus,5-star,4,normal,long,family,4198,12177,9589,24990,medium
Delhi,Chennai,1805,1,train,3-star,1,off,short,solo,1778,1804,488,4790,medium
Kochi,Pune,1370,2,train,3-star,1,peak,medium,family,1709,2146,1213,5964,medium
Mumbai,Chennai,374,7,flight,3-star,1,normal,short,couple,847,12001,3839,24995,medium
Bangalore,Jaipur,199,6,bus,5-star,1,off,long,couple,142,26926,6613,32430,high
Jaipur,Kolkata,766,3,train,4-star,3,peak,short,solo,2688,15754,8235,31391,medium
Goa,Hyderabad,888,2,bus,3-star,2,peak,short,family,1556,2185,2441,5952,low
Pune,Mumbai,1100,7,flight,3-star,5,off,short,solo,10628,32624,17851,91484,medium
Chennai,Delhi,1960,5,flight,3-star,4,off,medium,family,15205,14440,9801,59126,medium
Bangalore,Goa,1714,4,flight,5-star,1,normal,short,couple,3794,18005,4753,39775,high
Bangalore,Delhi,1465,1,bus,2-star,1,off,long,family,1062,831,314,2123,medium
Goa,Hyderabad,1159,2,train,2-star,2,peak,long,family,2835,970,1517,6264,low
Goa,Kochi,920,5,flight,3-star,5,peak,long,couple,11210,26987,15205,79921,medium
Pune,Mumbai,875,1,flight,4-star,4,normal,long,couple,7663,6999,3336,26971,high
Chennai,Kolkata,1763,5,train,4-star,1,normal,short,family,1956,14185,4221,23952,medium
Mumbai,Chennai,125,1,train,4-star,5,off,medium,couple,614,9487,3799,16359,medium
Jaipur,Delhi,1036,5,bus,5-star,1,off,long,solo,745,22280,5379,27311,high
Kochi,Bangalore,1657,2,bus,2-star,4,off,medium,family,4746,1604,2548,8568,low
Jaipur,Goa,1056,6,train,4-star,3,off,short,solo,3127,31193,14042,56925,medium
Mumbai,Bangalore,1881,5,train,3-star,3,peak,medium,family,6973,17441,8820,39136,medium
Mumbai,Pune,1804,6,train,5-star,5,off,long,solo,9064,80168,32784,143636,medium
Chennai,Kochi,1284,7,train,2-star,4,off,medium,family,4934,9850,8659,27605,low
Jaipur,Bangalore,424,1,train,4-star,3,normal,medium,family,1414,7001,2513,12863,medium
Delhi,Mumbai,961,3,bus,5-star,3,off,short,couple,2063,21822,9735,32361,medium
Goa,Delhi,1315,4,flight,3-star,2,normal,long,family,5836,6177,4296,24418,medium
Hyderabad,Jaipur,806,2,flight,2-star,5,peak,long,couple,9989,2974,3798,25089,medium
Pune,Bangalore,1938,4,flight,3-star,4,normal,medium,couple,16714,11965,8921,56348,medium
Jaipur,Kolkata,749,4,bus,2-star,1,off,long,solo,538,2485,1232,4095,low
Kochi,Goa,996,3,train,3-star,3,peak,medium,family,3614,8634,5474,20869,medium
Hyderabad,Mumbai,116,2,bus,4-star,4,normal,medium,couple,376,6955,6534,13370,low
Kochi,Kolkata,1058,4,bus,2-star,5,off,long,couple,3820,7337,6338,16840,low
Goa,Hyderabad,377,5,flight,3-star,4,off,medium,couple,3041,14168,10001,40768,medium
Kochi,Chennai,332,7,train,5-star,5,normal,medium,couple,1858,105118,42201,175784,high
Delhi,Hyderabad,1364,5,bus,5-star,5,normal,long,solo,5414,71911,30156,103501,medium
Jaipur,Hyderabad,1659,2,train,2-star,4,normal,medium,couple,7246,1781,2801,13926,low
Bangalore,Jaipur,1813,7,flight,3-star,2,off,medium,couple,7062,10624,7000,37000,medium
Kochi,Goa,1524,4,flight,5-star,1,peak,short,couple,3624,19997,5316,43330,high
Delhi,Pune,1205,1,train,2-star,3,peak,short,solo,4260,1959,1175,8710,medium
Bangalore,Pune,1878,6,train,3-star,5,off,medium,couple,9159,26811,14952,59952,low
Hyderabad,Delhi,1760,2,bus,3-star,4,normal,short,couple,5698,3984,4360,13521,low
Jaipur,Pune,1143,7,flight,2-star,2,peak,long,family,5650,6094,5469,25750,low
Kochi,Kolkata,186,4,train,3-star,2,peak,medium,couple,450,6519,4779,13838,low
Delhi,Pune,1720,1,bus,3-star,4,normal,short,solo,5547,4025,2246,11373,medium
Bangalore,Mumbai,1256,5,train,3-star,3,off,short,couple,3766,14075,7542,29888,low
Mumbai,Chennai,1508,1,flight,3-star,5,peak,short,family,17973,6561,3036,41329,high
Goa,Pune,739,3,train,3-star,2,peak,medium,couple,1841,4605,3663,11875,low
Kochi,Delhi,1478,5,train,4-star,5,normal,long,solo,8106,42336,21532,84667,medium
Kochi,Mumbai,687,1,train,3-star,1,normal,short,solo,752,2053,551,3945,medium
Chennai,Delhi,1153,5,train,3-star,1,off,long,solo,1149,7271,2490,12833,medium
Hyderabad,Kochi,665,6,flight,5-star,4,off,medium,family,5333,53500,25702,126697,high
Kochi,Pune,613,5,flight,3-star,5,normal,short,couple,6631,24158,13910,66938,medium
Delhi,Mumbai,181,3,bus,5-star,3,peak,medium,family,481,27063,11879,37922,medium
Delhi,Mumbai,1519,7,train,3-star,5,peak,medium,family,9282,38951,21052,81600,medium
Goa,Jaipur,1105,1,train,3-star,4,peak,short,solo,5403,4456,2409,14430,medium
Delhi,Bangalore,1592,2,flight,5-star,3,off,short,couple,9446,10554,6445,39642,high
Chennai,Jaipur,815,6,bus,2-star,1,peak,short,family,726,4992,2327,7742,low
Kochi,Mumbai,1244,5,flight,5-star,4,normal,long,couple,10955,48005,23762,123939,high
Hyderabad,Kolkata,1281,1,train,2-star,5,off,short,couple,6407,2445,1586,12278,medium
Delhi,Kolkata,225,1,bus,3-star,5,off,long,family,803,5225,2515,8235,low
Jaipur,Kochi,244,1,train,2-star,5,peak,medium,couple,1465,2931,1945,7464,low
Kochi,Mumbai,843,3,flight,2-star,2,peak,medium,couple,4056,2011,2331,12576,medium
Jaipur,Kolkata,1422,4,flight,4-star,2,off,medium,couple,5688,9256,6231,31722,medium
Hyderabad,Delhi,1489,6,bus,5-star,3,off,short,solo,3228,53700,19481,73596,medium
Mumbai,Kochi,797,4,flight,4-star,2,peak,medium,solo,3754,11620,7364,34076,medium
Mumbai,Kochi,1527,3,train,3-star,5,peak,long,solo,9050,12898,9226,36716,medium
Bangalore,Mumbai,1790,1,flight,5-star,5,normal,long,family,19504,18414,5951,65697,high
Hyderabad,Kolkata,1885,2,train,3-star,1,off,short,family,1818,1769,1008,5412,medium
Kochi,Bangalore,1974,4,bus,3-star,4,normal,medium,solo,6302,11901,8821,26029,low
Jaipur,Delhi,1322,5,train,2-star,4,normal,short,family,5860,7320,7152,23906,low
Hyderabad,Goa,1462,5,train,4-star,2,off,medium,solo,2879,12349,7602,26895,medium
Kochi,Pune,510,6,bus,3-star,2,off,medium,family,737,8869,5854,14901,low
Mumbai,Chennai,685,6,bus,4-star,4,normal,medium,family,2203,34974,20410,55456,medium
Kochi,Pune,847,3,bus,4-star,4,off,medium,solo,2411,12556,9052,23142,low
Mumbai,Hyderabad,1112,7,flight,2-star,4,normal,long,solo,9916,10967,9528,45551,low
Delhi,Goa,1746,5,bus,3-star,5,peak,medium,solo,7575,25807,14977,46622,low
Mumbai,Kolkata,1007,7,flight,3-star,2,normal,medium,solo,4425,11739,7593,35624,medium
Hyderabad,Chennai,1633,6,train,4-star,2,off,long,couple,3184,15798,9189,33156,medium
Pune,Kolkata,1486,4,train,4-star,1,off,medium,solo,1455,9475,3034,16436,medium
Goa,Hyderabad,952,2,flight,2-star,1,peak,long,solo,2294,1014,785,6127,medium
Jaipur,Hyderabad,1335,6,train,3-star,4,off,medium,solo,5183,18224,12024,41681,low
Jaipur,Kochi,1846,4,train,3-star,1,normal,short,family,1995,6073,2250,12137,medium
Chennai,Kochi,1294,7,flight,2-star,1,peak,long,family,3078,5858,2736,17493,medium
Kochi,Mumbai,1004,1,bus,3-star,2,off,medium,solo,1451,1814,995,4100,medium
Delhi,Goa,378,3,train,4-star,2,normal,long,couple,836,6860,5180,15159,medium
Kolkata,Mumbai,253,7,train,3-star,5,off,short,family,1274,32288,17313,59887,low
Bangalore,Kochi,1076,1,flight,2-star,2,peak,long,family,5088,997,776,10287,high
Pune,Kochi,716,5,bus,2-star,2,peak,long,couple,1258,4026,3830,8773,low
Chennai,Hyderabad,1851,2,train,4-star,2,peak,long,couple,4517,3791,3738,14179,medium
Bangalore,Hyderabad,1019,5,flight,4-star,4,off,long,solo,8049,25285,15215,72727,medium
Chennai,Kochi,1921,4,train,2-star,3,normal,medium,couple,6326,5466,4172,18786,low
Chennai,Pune,1714,2,train,5-star,3,off,short,couple,4967,11083,6614,26651,medium
Kolkata,Kochi,1214,5,bus,2-star,5,normal,short,solo,4761,10911,8683,23456,low
Kochi,Chennai,679,2,bus,3-star,4,peak,long,couple,2399,4419,4822,11208,low
Mumbai,Jaipur,1728,5,bus,5-star,1,peak,medium,solo,1502,26126,6509,32897,high
Kolkata,Pune,541,7,bus,5-star,1,peak,short,solo,470,39560,9140,47359,high
Kolkata,Hyderabad,256,4,train,2-star,1,normal,medium,solo,284,2760,1387,5210,low
Kolkata,Chennai,255,2,flight,4-star,4,normal,medium,family,2252,7052,6848,24185,medium
Jaipur,Kochi,406,1,train,4-star,5,normal,medium,solo,2235,10616,4280,20150,medium
Chennai,Pune,1148,6,bus,3-star,1,off,short,couple,811,9117,3009,12448,medium
Kolkata,Hyderabad,217,6,train,2-star,2,normal,short,solo,471,4502,4243,10843,low
Jaipur,Pune,1564,1,bus,4-star,1,normal,long,solo,1247,3556,880,5467,high
Chennai,Bangalore,1472,5,bus,5-star,1,off,medium,family,1047,21152,5424,26628,high
Pune,Mumbai,1050,3,flight,4-star,1,peak,short,couple,2568,7673,2866,19628,high
Mumbai,Goa,319,4,bus,2-star,2,peak,medium,couple,550,3000,3052,6357,low
Chennai,Kolkata,260,6,train,2-star,3,normal,short,family,880,9268,6227,19256,low
Goa,Jaipur,1178,3,bus,3-star,2,peak,medium,family,2056,4456,3608,9744,low
Goa,Bangalore,1045,2,train,2-star,2,peak,medium,solo,2527,990,1495,5902,low
Delhi,Kochi,512,1,train,3-star,2,peak,short,solo,1238,2177,1201,5435,medium
Goa,Bangalore,1997,5,flight,5-star,4,normal,medium,couple,17954,47095,24292,133855,high
Delhi,Mumbai,989,4,flight,2-star,3,off,medium,couple,5850,4839,3824,21740,low
Kochi,Hyderabad,682,1,train,2-star,2,normal,medium,couple,1508,907,710,3676,low
Bangalore,Goa,1534,5,train,5-star,3,normal,long,couple,5037,47559,17707,82804,high
Kolkata,Pune,1506,5,bus,5-star,5,off,long,couple,5354,67666,27504,96596,medium
Kolkata,Delhi,686,4,flight,2-star,1,peak,short,family,1626,2911,1551,9126,medium
Bangalore,Goa,1282,4,bus,5-star,3,normal,short,couple,3102,36296,14344,51736,medium
Mumbai,Kolkata,1976,6,bus,5-star,1,off,medium,couple,1420,27132,6488,33734,high
Mumbai,Pune,1693,1,bus,4-star,2,off,long,solo,2356,3139,1510,6752,medium
Pune,Hyderabad,356,5,train,4-star,2,off,medium,family,706,13164,7692,25330,medium
Kolkata,Goa,1279,5,bus,3-star,3,peak,medium,solo,3360,17843,9140,29201,low
Kolkata,Pune,172,2,flight,3-star,2,peak,short,solo,837,2220,2494,8304,medium
Mumbai,Kolkata,720,7,flight,5-star,2,normal,long,couple,3114,36255,16566,83792,high
Kolkata,Kochi,1411,3,bus,3-star,3,off,long,couple,3073,7100,4427,14066,low
Pune,Kolkata,115,1,flight,4-star,2,off,short,family,453,3196,1551,7782,medium
Kolkata,Mumbai,1442,3,flight,4-star,3,normal,short,solo,9339,14011,7568,46338,high
Delhi,Hyderabad,1293,1,train,4-star,4,peak,medium,couple,6139,7674,3722,20650,high
Kolkata,Mumbai,1294,1,train,4-star,5,off,long,family,6638,9511,3745,23398,medium
Kolkata,Hyderabad,1737,2,train,3-star,2,normal,medium,couple,3789,2030,2268,9512,medium
Hyderabad,Kochi,222,1,bus,4-star,4,normal,long,family,693,6802,3495,10590,medium
Bangalore,Delhi,1707,6,train,4-star,3,normal,medium,solo,5666,34544,15422,65501,medium
Mumbai,Pune,987,2,train,4-star,4,normal,short,couple,4171,7000,6833,21200,medium
Goa,Bangalore,1986,7,flight,3-star,1,peak,medium,family,4872,12999,4240,33133,medium
Jaipur,Hyderabad,675,5,train,2-star,1,normal,short,couple,732,3613,1726,7146,low
Kochi,Bangalore,969,5,bus,5-star,5,peak,short,couple,4237,78016,33322,111354,medium
Kochi,Hyderabad,1564,7,flight,4-star,3,peak,long,family,11500,46037,19646,115620,high
Pune,Delhi,391,5,bus,3-star,3,peak,long,family,1009,17520,9068,26582,low
Jaipur,Kolkata,1780,7,bus,3-star,2,normal,long,solo,2959,11799,7869,21784,low
Goa,Jaipur,907,4,bus,5-star,2,peak,medium,solo,1620,19883,10838,31119,medium
Chennai,Hyderabad,1477,2,flight,2-star,1,off,long,family,2940,814,629,6563,medium
Delhi,Goa,1716,1,bus,3-star,3,peak,medium,solo,4613,4472,1797,10470,medium
Mumbai,Jaipur,598,1,bus,2-star,4,peak,medium,couple,2063,1973,1521,5355,low
Chennai,Jaipur,1171,5,bus,4-star,3,peak,long,solo,3088,31371,13928,46566,medium
Chennai,Kochi,1146,2,train,3-star,4,off,medium,solo,4535,3603,4010,14293,low
Kolkata,Goa,1141,7,train,2-star,3,normal,long,couple,3638,10701,7373,25570,low
Kolkata,Goa,1790,7,bus,5-star,2,normal,long,couple,2915,35734,16327,52984,medium
Delhi,Jaipur,875,6,bus,4-star,1,peak,short,family,777,19066,5509,24431,medium
Bangalore,Kolkata,1048,5,train,4-star,4,peak,long,couple,5024,30714,18530,63896,medium
Delhi,Chennai,1889,3,flight,3-star,2,normal,medium,family,8036,4053,3363,23161,medium
Kolkata,Jaipur,1680,4,flight,4-star,2,off,long,family,6717,9288,6101,33125,medium
Jaipur,Chennai,790,3,flight,5-star,4,off,long,solo,6256,21794,13089,61594,high
Delhi,Kolkata,1026,4,bus,3-star,5,normal,long,family,4058,18022,11075,31924,low
Bangalore,Mumbai,631,4,bus,3-star,5,off,short,family,2321,16371,10017,27625,low
Mumbai,Jaipur,1155,2,bus,5-star,3,peak,long,couple,3053,13479,7968,23571,medium
Kochi,Chennai,120,1,flight,3-star,3,peak,medium,solo,859,4492,1834,10753,medium
Hyderabad,Kochi,640,3,flight,5-star,3,off,medium,couple,3776,21444,9763,52417,high
Kolkata,Kochi,1038,5,bus,4-star,5,peak,medium,solo,4598,46336,23484,71646,medium
Kochi,Bangalore,419,5,bus,2-star,4,normal,medium,solo,1374,7315,7020,15116,low
Hyderabad,Chennai,1841,1,flight,5-star,4,peak,medium,solo,18072,12995,5311,54486,high
Bangalore,Pune,1217,7,flight,2-star,2,off,short,family,4950,4844,4353,21186,low
Bangalore,Delhi,575,1,train,4-star,4,off,medium,solo,2254,6197,3023,13516,medium
Goa,Kolkata,1044,3,flight,2-star,2,peak,medium,solo,5024,1938,2310,13896,medium
Kochi,Goa,1359,3,train,4-star,2,normal,long,family,3030,6904,5216,17826,medium
Kochi,Bangalore,1241,3,flight,2-star,1,normal,short,solo,2751,1827,1039,8409,medium
Mumbai,Pune,520,5,train,3-star,3,peak,short,family,1911,17311,9196,33458,medium
Goa,Bangalore,1627,2,train,3-star,3,normal,long,family,5382,4033,3241,14896,medium
Chennai,Kochi,1541,4,train,3-star,1,off,short,couple,1505,5448,1951,10479,medium
Bangalore,Mumbai,796,5,flight,2-star,3,peak,long,family,5819,7757,5848,29101,low
Goa,Hyderabad,388,5,flight,2-star,4,off,medium,couple,3016,6533,6359,23823,low
Bangalore,Kolkata,1686,4,flight,3-star,4,off,short,solo,13213,10894,7950,48022,medium
Kochi,Kolkata,183,6,flight,2-star,2,peak,long,couple,878,4875,4483,15353,low
Mumbai,Hyderabad,811,5,train,2-star,1,off,medium,family,807,3163,1577,6534,low
Bangalore,Chennai,105,6,flight,3-star,2,normal,long,solo,460,10101,6570,25655,medium
Kochi,Mumbai,1092,1,bus,3-star,3,peak,short,solo,2868,4448,1824,8798,medium
Delhi,Pune,1317,4,train,5-star,3,peak,short,family,4803,39878,15475,70808,high
Pune,Goa,1516,4,bus,5-star,4,off,medium,solo,4415,32697,17016,52119,medium
Bangalore,Hyderabad,896,5,train,5-star,4,normal,long,solo,3927,47971,23951,89280,medium
Mumbai,Pune,1364,5,flight,4-star,5,normal,medium,couple,15079,42901,21594,119071,medium
Pune,Mumbai,1223,1,bus,3-star,4,normal,long,couple,3836,4037,2243,9740,medium
Chennai,Jaipur,281,2,bus,4-star,5,off,long,couple,1017,9604,7880,17791,low
Pune,Mumbai,1440,6,train,3-star,3,peak,long,family,5307,22082,11060,45228,medium
Delhi,Bangalore,1735,3,train,4-star,2,normal,short,solo,3825,7002,5073,18715,medium
Pune,Chennai,412,2,flight,3-star,1,peak,medium,family,1020,2172,1237,6631,medium
Pune,Jaipur,407,4,flight,2-star,2,off,short,couple,1623,2378,2533,9790,low
Chennai,Jaipur,971,4,bus,3-star,4,off,medium,family,2708,10901,8025,20826,low
Mumbai,Pune,1095,6,flight,2-star,2,peak,medium,solo,5252,4959,4755,22408,low
Chennai,Jaipur,207,2,bus,3-star,2,peak,short,couple,361,2165,2473,4812,low
Bangalore,Mumbai,742,1,train,2-star,3,off,long,solo,2268,1620,959,5698,low
Kochi,Delhi,576,4,flight,3-star,1,peak,short,solo,1421,6526,2402,15507,medium
Mumbai,Goa,1983,5,bus,4-star,3,peak,medium,couple,5331,31578,14143,49100,medium
Jaipur,Bangalore,674,1,bus,5-star,1,normal,short,couple,532,6178,1190,7596,high
Pune,Mumbai,655,1,train,2-star,3,off,long,solo,1935,1628,967,5329,low
Bangalore,Goa,1112,1,train,5-star,5,normal,long,solo,6194,18112,6041,35700,high
Pune,Kolkata,338,2,flight,5-star,5,peak,long,couple,4092,19965,12699,55092,high
Hyderabad,Jaipur,423,6,bus,5-star,1,peak,short,family,370,33119,7783,39745,high
Hyderabad,Pune,1756,6,flight,3-star,1,peak,short,solo,4274,10966,3725,28400,medium
Pune,Jaipur,1633,5,flight,3-star,2,peak,short,family,8090,8738,6036,34238,medium
Kolkata,Pune,1995,2,bus,4-star,3,off,long,family,4304,6257,4603,14604,medium
Jaipur,Mumbai,257,1,train,5-star,2,off,long,solo,503,5308,2180,9410,medium
Kochi,Mumbai,1162,5,bus,5-star,3,normal,long,family,2815,47420,18241,65961,medium
Chennai,Mumbai,1159,3,bus,4-star,4,normal,medium,solo,3673,14053,10325,27003,medium
Chennai,Delhi,842,1,bus,5-star,1,normal,short,family,673,6040,1190,7608,high
Bangalore,Mumbai,415,1,train,2-star,1,off,short,couple,409,807,311,1797,low
Bangalore,Hyderabad,1680,4,train,4-star,1,normal,medium,solo,1843,10256,3374,18232,medium
Mumbai,Hyderabad,1405,3,flight,3-star,5,off,medium,family,13850,10758,7398,47957,medium
Hyderabad,Pune,1183,3,flight,3-star,3,normal,medium,couple,7800,8057,5014,31253,medium
Bangalore,Kolkata,1349,3,flight,2-star,4,peak,medium,solo,12931,3888,4547,32031,medium
Kochi,Jaipur,1507,1,bus,4-star,3,normal,long,solo,3590,6963,2520,12594,medium
Pune,Kolkata,942,4,train,3-star,3,peak,short,solo,3352,13109,7279,27952,medium
Kochi,Pune,325,1,train,4-star,2,off,long,solo,649,3123,1520,6230,medium
Chennai,Kolkata,543,4,bus,4-star,5,off,medium,solo,1927,28336,15105,43704,medium
Goa,Bangalore,664,7,bus,2-star,1,off,long,couple,482,4729,2193,7138,low
Jaipur,Delhi,326,5,flight,5-star,5,off,short,solo,3241,64978,28090,144144,high
Kolkata,Pune,493,5,flight,2-star,5,normal,long,family,5451,10637,8737,37202,low
Jaipur,Goa,1662,1,train,4-star,2,normal,short,couple,3558,3495,1678,10285,high
Pune,Mumbai,550,4,flight,4-star,1,off,long,couple,1103,9372,3054,20272,high
Goa,Chennai,759,1,bus,3-star,5,peak,short,couple,3307,6772,3010,12596,medium
Pune,Mumbai,537,2,bus,2-star,2,normal,short,solo,882,910,1410,3080,low
Pune,Kochi,1812,5,train,3-star,2,peak,long,couple,4409,8851,5875,22529,medium
Jaipur,Delhi,1585,2,flight,4-star,4,peak,long,couple,15278,7797,7474,45759,high
Kochi,Pune,1341,5,train,5-star,4,off,short,family,5198,43166,22152,82965,medium
Kolkata,Pune,1355,6,bus,5-star,4,peak,medium,couple,4858,65938,32132,99089,medium
Bangalore,Mumbai,416,3,flight,4-star,4,off,medium,couple,3276,12277,9052,36904,medium
Kolkata,Kochi,730,1,train,2-star,1,normal,medium,family,821,896,348,2428,medium
Bangalore,Chennai,1742,3,train,3-star,4,off,medium,family,6867,7405,6084,23933,low
Chennai,Delhi,1910,2,flight,3-star,5,normal,short,family,21709,5985,5524,49690,medium
Chennai,Delhi,816,4,flight,4-star,5,normal,long,solo,8771,32197,16702,86370,medium
Hyderabad,Goa,218,1,bus,4-star,3,off,medium,solo,472,6196,2274,8618,medium
Hyderabad,Jaipur,1673,5,bus,4-star,1,off,medium,couple,1189,12485,3794,16831,medium
Goa,Bangalore,955,4,flight,3-star,5,normal,medium,family,10418,18225,10817,59114,medium
Goa,Kochi,532,2,flight,5-star,1,off,medium,couple,1056,5498,2143,13018,high
Goa,Bangalore,307,6,flight,3-star,3,normal,short,couple,2004,19930,10075,47940,medium
Delhi,Pune,643,1,flight,3-star,4,normal,long,couple,5674,3968,2215,17761,medium
Jaipur,Pune,710,4,flight,3-star,5,off,long,couple,6912,16365,9960,49778,medium
Kolkata,Hyderabad,564,4,bus,4-star,1,normal,long,solo,449,10367,3354,13656,medium
Hyderabad,Pune,1022,1,train,4-star,1,off,short,solo,1019,3208,757,5860,high
Bangalore,Kochi,1688,4,bus,4-star,4,off,medium,solo,4894,18308,12132,34068,medium
Delhi,Kochi,768,7,train,2-star,3,peak,short,solo,2786,11717,7971,26472,low
Bangalore,Hyderabad,654,6,flight,4-star,2,off,medium,family,2563,15819,9154,41246,medium
Pune,Mumbai,638,7,train,4-star,3,off,medium,family,1831,36597,15918,64073,medium
Chennai,Delhi,198,5,flight,4-star,3,normal,short,couple,1315,26846,12654,61261,medium
Chennai,Hyderabad,1616,5,train,4-star,4,peak,short,solo,7759,31441,18592,67984,medium
Bangalore,Jaipur,354,1,flight,4-star,2,normal,short,family,1566,3507,1645,10067,high
Jaipur,Goa,256,6,bus,4-star,2,normal,medium,solo,414,17556,10277,27192,medium
Bangalore,Hyderabad,1821,6,train,5-star,4,off,medium,couple,7635,52311,26590,101898,medium
